InventoryAction,Site,SellerSKU,Quantity,Price
Modify,Shopify,1725829,39,67.02
Modify,Shopify,1728021,57,14.44
Modify,Shopify,1728054,43,49.88
Modify,Shopify,1728237,46,68.21
Modify,Shopify,1728856,42,44.13
Modify,Shopify,1731751,258,23.15
Modify,Shopify,1731777,169,18.02
Modify,Shopify,1731850,12,9.89
Modify,Shopify,1732072,52,39.02
Modify,Shopify,1732684,182,3.99
Modify,Shopify,1732882,0,7.28
Modify,Shopify,1733294,37,40.54
Modify,Shopify,1733666,504,5.93
Modify,Shopify,1733898,42,48.00
Modify,Shopify,1735638,2,131.25
Modify,Shopify,1736032,50,65.01
Modify,Shopify,1736784,0,7.55
Modify,Shopify,1736867,95,16.18
Modify,Shopify,1736982,49,31.47
Modify,Shopify,1737188,348,22.91
Modify,Shopify,1737915,49,35.08
Modify,Shopify,1737964,212,20.38
Modify,Shopify,1738194,58,9.56
Modify,Shopify,1738715,89,27.44
Modify,Shopify,1738723,73,27.44
Modify,Shopify,1740125,15,39.09
Modify,Shopify,1740752,492,28.63
Modify,Shopify,1741057,187,5.51
Modify,Shopify,1741404,192,31.65
Modify,Shopify,1741669,2122,29.51
Modify,Shopify,1741719,1417,23.79
Modify,Shopify,1741917,556,40.49
Modify,Shopify,1741958,35,19.37
Modify,Shopify,1742055,14,40.26
Modify,Shopify,1742824,0,16.85
Modify,Shopify,1743269,0,9.79
Modify,Shopify,1745694,12,10.14
Modify,Shopify,1745702,16,10.14
Modify,Shopify,1746379,45,41.78
Modify,Shopify,1746452,33,82.10
Modify,Shopify,1747104,1063,29.38
Modify,Shopify,1747922,534,28.29
Modify,Shopify,1748060,6,31.92
Modify,Shopify,1748631,94,34.76
Modify,Shopify,1748847,0,28.21
Modify,Shopify,1749456,2,33.34
Modify,Shopify,1749472,12,9.77
Modify,Shopify,1750678,204,9.01
Modify,Shopify,1751502,6,31.62
Modify,Shopify,1751627,17,34.16
Modify,Shopify,1752229,920,33.48
Modify,Shopify,1595750,158,51.08
Modify,Shopify,1595883,179,7.88
Modify,Shopify,1595933,659,7.23
Modify,Shopify,1596642,1381,32.52
Modify,Shopify,1597145,346,6.16
Modify,Shopify,1598291,35,34.60
Modify,Shopify,1599430,23,27.02
Modify,Shopify,1599695,523,7.19
Modify,Shopify,1599711,513,7.19
Modify,Shopify,1600410,236,29.23
Modify,Shopify,1601301,14,24.50
Modify,Shopify,1601319,65,24.50
Modify,Shopify,1602705,24,16.72
Modify,Shopify,1603075,128,20.11
Modify,Shopify,1604479,6,8.56
Modify,Shopify,1605658,46,35.95
Modify,Shopify,1606417,0,17.40
Modify,Shopify,1606474,0,15.66
Modify,Shopify,1608298,142,8.37
Modify,Shopify,1608322,41,20.67
Modify,Shopify,1609130,9,30.58
Modify,Shopify,1611508,49,35.86
Modify,Shopify,1611532,17,20.63
Modify,Shopify,1611995,24,38.64
Modify,Shopify,1613140,390,41.26
Modify,Shopify,1613173,450,41.26
Modify,Shopify,1613264,26,42.59
Modify,Shopify,1614338,0,24.05
Modify,Shopify,1614676,18,73.17
Modify,Shopify,1615210,20,24.83
Modify,Shopify,1615483,132,90.11
Modify,Shopify,1616283,488,19.77
Modify,Shopify,1617521,1463,2.56
Modify,Shopify,1617810,290,7.22
Modify,Shopify,1618313,18,37.83
Modify,Shopify,1618479,1150,7.22
Modify,Shopify,1618677,35,26.42
Modify,Shopify,1618693,144,44.02
Modify,Shopify,1620095,287,28.86
Modify,Shopify,1620467,78,42.54
Modify,Shopify,1620855,100,19.23
Modify,Shopify,1620947,62,37.34
Modify,Shopify,1622208,1738,30.98
Modify,Shopify,1624709,112,30.13
Modify,Shopify,1624774,14,23.13
Modify,Shopify,1624840,145,28.86
Modify,Shopify,1625938,125,22.22
Modify,Shopify,1626043,191,16.38
Modify,Shopify,1626514,51,22.86
Modify,Shopify,1626746,103,6.54
Modify,Shopify,1626753,663,5.86
Modify,Shopify,1626993,63,35.08
Modify,Shopify,1627843,25,26.04
Modify,Shopify,1627884,14,9.52
Modify,Shopify,1628320,71,6.55
Modify,Shopify,1629039,565,19.56
Modify,Shopify,1629054,7,25.01
Modify,Shopify,1629310,24,11.79
Modify,Shopify,1630169,29,41.80
Modify,Shopify,1630391,19,48.93
Modify,Shopify,1631183,37,37.30
Modify,Shopify,1631282,45,73.59
Modify,Shopify,1631993,47,37.54
Modify,Shopify,1632306,475,9.92
Modify,Shopify,1632322,377,15.11
Modify,Shopify,1632975,16,7.21
Modify,Shopify,1636273,677,23.46
Modify,Shopify,1636349,58,28.29
Modify,Shopify,1637230,80,28.38
Modify,Shopify,1638014,67,27.08
Modify,Shopify,1639574,20,132.32
Modify,Shopify,1639640,394,16.14
Modify,Shopify,1639681,271,16.14
Modify,Shopify,1640663,378,8.96
Modify,Shopify,1641042,35,21.66
Modify,Shopify,1641273,1244,8.96
Modify,Shopify,1642032,87,28.70
Modify,Shopify,1642040,98,28.70
Modify,Shopify,1642982,0,15.39
Modify,Shopify,1643386,94,34.56
Modify,Shopify,1643592,5,25.62
Modify,Shopify,1643923,0,22.46
Modify,Shopify,1644640,439,34.61
Modify,Shopify,1644657,21,28.78
Modify,Shopify,1645043,737,4.59
Modify,Shopify,1645274,19,47.15
Modify,Shopify,1645282,230,26.10
Modify,Shopify,1645605,56,22.66
Modify,Shopify,1648401,71,25.45
Modify,Shopify,1648484,20,12.08
Modify,Shopify,1648542,201,14.61
Modify,Shopify,1648716,19,21.68
Modify,Shopify,1648724,23,14.47
Modify,Shopify,1649128,387,25.19
Modify,Shopify,1649136,52,25.19
Modify,Shopify,1649284,51,33.67
Modify,Shopify,1649417,193,68.61
Modify,Shopify,1650753,51,22.05
Modify,Shopify,1651306,8,37.30
Modify,Shopify,1651538,76,8.42
Modify,Shopify,1652437,15,22.38
Modify,Shopify,1666148,52,34.36
Modify,Shopify,1670132,56,38.34
Modify,Shopify,1670785,114,8.96
Modify,Shopify,1677848,8,13.89
Modify,Shopify,1678929,19,25.65
Modify,Shopify,1678952,86,25.65
Modify,Shopify,1682228,149,16.71
Modify,Shopify,1684497,18,7.85
Modify,Shopify,1685098,24,20.40
Modify,Shopify,1685171,90,22.99
Modify,Shopify,1686914,31,42.63
Modify,Shopify,1687326,38,16.68
Modify,Shopify,1687367,30,19.32
Modify,Shopify,1687474,107,27.39
Modify,Shopify,1687763,36,29.23
Modify,Shopify,1687797,6,29.23
Modify,Shopify,1688373,32,34.95
Modify,Shopify,1688613,122,7.46
Modify,Shopify,1688654,229,7.74
Modify,Shopify,1689363,229,22.02
Modify,Shopify,1689389,22,31.82
Modify,Shopify,1690056,31,49.66
Modify,Shopify,1690288,51,67.88
Modify,Shopify,1691856,75,31.31
Modify,Shopify,1692169,94,32.37
Modify,Shopify,1693027,6,50.72
Modify,Shopify,1519255,194,9.49
Modify,Shopify,1519297,274,53.64
Modify,Shopify,1520097,25,8.97
Modify,Shopify,1520170,60,16.38
Modify,Shopify,1520253,548,9.09
Modify,Shopify,1520576,19,48.97
Modify,Shopify,1520683,49,48.97
Modify,Shopify,1522671,161,10.31
Modify,Shopify,1523323,1028,43.72
Modify,Shopify,1524024,33,12.19
Modify,Shopify,1524404,106,20.87
Modify,Shopify,1524610,29,32.02
Modify,Shopify,1525880,12,41.52
Modify,Shopify,1526797,83,103.14
Modify,Shopify,1527282,9,70.52
Modify,Shopify,1527373,92,32.86
Modify,Shopify,1527910,377,20.81
Modify,Shopify,1527985,69,7.88
Modify,Shopify,1528280,1264,21.65
Modify,Shopify,1528405,282,49.66
Modify,Shopify,1529346,9,7.84
Modify,Shopify,1530344,1,119.41
Modify,Shopify,1531276,21,30.51
Modify,Shopify,1531516,1,132.26
Modify,Shopify,1533215,26,30.23
Modify,Shopify,1533272,0,5.62
Modify,Shopify,1533660,68,56.11
Modify,Shopify,1535764,575,35.46
Modify,Shopify,1536838,395,15.93
Modify,Shopify,1536846,1938,15.93
Modify,Shopify,1537646,168,56.11
Modify,Shopify,1537679,232,46.26
Modify,Shopify,1538065,128,36.04
Modify,Shopify,1538115,93,48.01
Modify,Shopify,1538693,178,17.90
Modify,Shopify,1538875,89,49.17
Modify,Shopify,1539337,210,26.54
Modify,Shopify,1540582,58,8.34
Modify,Shopify,1540863,189,66.11
Modify,Shopify,1540962,49,4.99
Modify,Shopify,1540996,39,3.26
Modify,Shopify,1541069,122,9.72
Modify,Shopify,1541879,1616,21.84
Modify,Shopify,1542380,16,55.38
Modify,Shopify,1542901,20,41.05
Modify,Shopify,1543883,62,25.61
Modify,Shopify,1545441,1655,3.35
Modify,Shopify,1545565,5,85.42
Modify,Shopify,1546076,197,68.66
Modify,Shopify,1548627,279,6.81
Modify,Shopify,1548783,3,108.18
Modify,Shopify,1549153,32,91.50
Modify,Shopify,1549187,32,75.42
Modify,Shopify,1550789,50,23.90
Modify,Shopify,1550797,388,33.26
Modify,Shopify,1550912,23,29.86
Modify,Shopify,1551258,195,24.48
Modify,Shopify,1551357,281,25.57
Modify,Shopify,1551571,30,28.41
Modify,Shopify,1552454,1525,30.48
Modify,Shopify,1553395,108,30.44
Modify,Shopify,1553684,474,4.85
Modify,Shopify,1553742,59,34.95
Modify,Shopify,1554815,488,9.46
Modify,Shopify,1555416,740,25.66
Modify,Shopify,1555507,10,43.72
Modify,Shopify,1556539,487,3.18
Modify,Shopify,1557081,37,12.22
Modify,Shopify,1557222,0,12.73
Modify,Shopify,1557966,198,43.72
Modify,Shopify,1558790,238,30.58
Modify,Shopify,1558832,5,18.08
Modify,Shopify,1559863,1,15.25
Modify,Shopify,1560275,50,23.94
Modify,Shopify,1560846,70,7.96
Modify,Shopify,1561711,8,16.68
Modify,Shopify,1562222,18,15.67
Modify,Shopify,1563162,100,70.49
Modify,Shopify,1563527,107,33.22
Modify,Shopify,1564012,24,55.17
Modify,Shopify,1564822,1875,37.79
Modify,Shopify,1564988,14,30.37
Modify,Shopify,1565811,76,17.00
Modify,Shopify,1567577,38,28.78
Modify,Shopify,1569078,156,29.13
Modify,Shopify,1569193,99,30.13
Modify,Shopify,1569227,78,20.62
Modify,Shopify,1570977,2,31.40
Modify,Shopify,1571116,815,9.80
Modify,Shopify,1571306,4,33.31
Modify,Shopify,1573393,4,35.50
Modify,Shopify,1574771,0,10.22
Modify,Shopify,1575307,1649,70.08
Modify,Shopify,1576511,711,2.74
Modify,Shopify,1577691,7,28.94
Modify,Shopify,1577873,72,30.08
Modify,Shopify,1577980,67,7.84
Modify,Shopify,1578087,108,7.84
Modify,Shopify,1578236,421,14.43
Modify,Shopify,1578319,42,14.43
Modify,Shopify,1580075,60,14.81
Modify,Shopify,1580356,12,24.75
Modify,Shopify,1582089,456,6.66
Modify,Shopify,1582329,141,35.10
Modify,Shopify,1582402,37,14.50
Modify,Shopify,1582873,62,43.95
Modify,Shopify,1583426,206,12.42
Modify,Shopify,1583921,18,31.58
Modify,Shopify,1583947,144,29.21
Modify,Shopify,1583954,21,10.29
Modify,Shopify,1583988,178,75.78
Modify,Shopify,1584556,113,52.98
Modify,Shopify,1584598,184,26.54
Modify,Shopify,1585009,54,9.25
Modify,Shopify,1585165,37,6.49
Modify,Shopify,1587765,23,44.91
Modify,Shopify,1587807,280,7.49
Modify,Shopify,1588102,34,44.06
Modify,Shopify,1590462,372,36.57
Modify,Shopify,1592666,246,3.07
Modify,Shopify,1592708,76,3.07
Modify,Shopify,1592732,171,3.07
Modify,Shopify,1593425,253,49.16
Modify,Shopify,1593516,126,20.73
Modify,Shopify,1593920,28,21.62
Modify,Shopify,1594027,26,41.33
Modify,Shopify,1594332,101,6.55
Modify,Shopify,1595081,1433,12.18
Modify,Shopify,1595578,228,6.34
Modify,Shopify,1595685,322,51.08
Modify,Shopify,1251495,234,61.11
Modify,Shopify,1252576,59,27.13
Modify,Shopify,1252758,310,24.30
Modify,Shopify,1253087,27,22.66
Modify,Shopify,1253467,65,11.74
Modify,Shopify,1253582,52,11.74
Modify,Shopify,1253608,167,23.68
Modify,Shopify,1254630,182,18.63
Modify,Shopify,1254911,8,23.90
Modify,Shopify,1255603,0,21.06
Modify,Shopify,1255678,36,17.13
Modify,Shopify,1256940,35,23.10
Modify,Shopify,1257955,940,2.01
Modify,Shopify,1258623,308,26.42
Modify,Shopify,1258888,101,23.63
Modify,Shopify,1259522,55,24.68
Modify,Shopify,1260975,23,22.11
Modify,Shopify,1261759,0,16.24
Modify,Shopify,1262500,35,25.30
Modify,Shopify,1262948,145,19.31
Modify,Shopify,1264167,265,44.26
Modify,Shopify,1264753,275,55.22
Modify,Shopify,1264928,2,37.25
Modify,Shopify,1265024,95,6.20
Modify,Shopify,1265065,355,13.70
Modify,Shopify,1266568,10,30.08
Modify,Shopify,1266865,24,32.14
Modify,Shopify,1266915,76,110.51
Modify,Shopify,1267392,326,10.33
Modify,Shopify,1267400,715,8.91
Modify,Shopify,1268051,45,95.40
Modify,Shopify,1269141,27,18.88
Modify,Shopify,1269265,29,22.06
Modify,Shopify,1269430,125,16.38
Modify,Shopify,1269885,127,24.75
Modify,Shopify,1270388,12,29.02
Modify,Shopify,1270628,25,34.05
Modify,Shopify,1271055,21,128.92
Modify,Shopify,1271980,141,10.20
Modify,Shopify,1272038,150,7.50
Modify,Shopify,1272541,236,6.46
Modify,Shopify,1273739,32,9.08
Modify,Shopify,1273945,69,37.90
Modify,Shopify,1274067,51,95.67
Modify,Shopify,1274240,158,101.06
Modify,Shopify,1275098,1394,30.89
Modify,Shopify,1275122,24,57.46
Modify,Shopify,1275239,63,13.04
Modify,Shopify,1277763,10,50.72
Modify,Shopify,1277946,68,53.05
Modify,Shopify,1277979,324,26.10
Modify,Shopify,1278811,123,47.11
Modify,Shopify,1279579,3,5.46
Modify,Shopify,1279629,0,3.08
Modify,Shopify,1279637,321,2.08
Modify,Shopify,1279850,15,12.95
Modify,Shopify,1281070,14,42.65
Modify,Shopify,1281153,199,26.50
Modify,Shopify,1281369,38,13.44
Modify,Shopify,1281427,104,19.44
Modify,Shopify,1281526,283,17.02
Modify,Shopify,1281625,1693,30.62
Modify,Shopify,1281633,0,4.51
Modify,Shopify,1305630,51,22.09
Modify,Shopify,1305895,241,4.48
Modify,Shopify,1305978,72,4.76
Modify,Shopify,1308881,33,28.20
Modify,Shopify,1314715,19,19.33
Modify,Shopify,1329986,39,57.90
Modify,Shopify,1340553,34,16.32
Modify,Shopify,1351915,86,30.13
Modify,Shopify,1372176,42,25.86
Modify,Shopify,1383553,88,15.58
Modify,Shopify,1383660,324,11.08
Modify,Shopify,1383751,0,15.60
Modify,Shopify,1383793,0,15.60
Modify,Shopify,1384015,164,7.22
Modify,Shopify,1384080,26,17.13
Modify,Shopify,1384122,87,4.44
Modify,Shopify,1384312,174,7.22
Modify,Shopify,1391556,287,28.29
Modify,Shopify,1418193,19,16.68
Modify,Shopify,1418904,133,18.64
Modify,Shopify,1448976,63,30.58
Modify,Shopify,1456243,23,26.99
Modify,Shopify,1499565,120,45.31
Modify,Shopify,1499599,36,45.31
Modify,Shopify,1499623,35,45.31
Modify,Shopify,1499656,18,36.47
Modify,Shopify,1499680,361,26.10
Modify,Shopify,1499938,390,49.95
Modify,Shopify,1500008,193,61.63
Modify,Shopify,1500644,65,5.41
Modify,Shopify,1500966,1,14.76
Modify,Shopify,1500990,16,12.80
Modify,Shopify,1503408,2016,2.12
Modify,Shopify,1503663,154,41.75
Modify,Shopify,1505403,49,9.25
Modify,Shopify,1505544,80,12.17
Modify,Shopify,1508720,36,19.29
Modify,Shopify,1508829,685,28.78
Modify,Shopify,1508860,72,13.88
Modify,Shopify,1508886,161,36.01
Modify,Shopify,1511237,58,17.64
Modify,Shopify,1511542,1102,25.87
Modify,Shopify,1511708,50,31.02
Modify,Shopify,1512169,138,49.79
Modify,Shopify,1512219,92,32.82
Modify,Shopify,1513399,1083,29.51
Modify,Shopify,1513480,58,75.78
Modify,Shopify,1513720,101,9.24
Modify,Shopify,1514496,515,7.19
Modify,Shopify,1514587,254,7.19
Modify,Shopify,1515055,319,9.24
Modify,Shopify,1515204,15,36.93
Modify,Shopify,1515246,88,24.64
Modify,Shopify,1515436,235,14.04
Modify,Shopify,1515873,22,40.83
Modify,Shopify,1515998,1004,30.23
Modify,Shopify,1516087,12,30.23
Modify,Shopify,1516806,154,40.16
Modify,Shopify,1517689,218,25.07
Modify,Shopify,1517820,333,6.55
Modify,Shopify,1518570,816,31.92
Modify,Shopify,1518885,38,44.46
Modify,Shopify,0100578,741,27.56
Modify,Shopify,0100834,95,13.83
Modify,Shopify,0100925,112,13.83
Modify,Shopify,0101360,62,42.63
Modify,Shopify,0101741,2933,25.66
Modify,Shopify,0101865,85,17.93
Modify,Shopify,0101923,86,28.67
Modify,Shopify,0101980,53,36.76
Modify,Shopify,0102079,12,17.93
Modify,Shopify,0102111,152,30.08
Modify,Shopify,0103085,59,11.08
Modify,Shopify,0103705,158,10.05
Modify,Shopify,0103879,32,55.24
Modify,Shopify,0104174,861,3.31
Modify,Shopify,0104588,27,7.78
Modify,Shopify,0104612,280,35.26
Modify,Shopify,0104711,196,38.46
Modify,Shopify,0104968,0,14.48
Modify,Shopify,0105551,537,34.56
Modify,Shopify,0105684,82,15.58
Modify,Shopify,0105767,100,14.46
Modify,Shopify,0106039,255,13.45
Modify,Shopify,0106450,92,191.36
Modify,Shopify,0106492,28,146.38
Modify,Shopify,0107284,20,12.77
Modify,Shopify,0107664,94,7.78
Modify,Shopify,0107714,115,8.15
Modify,Shopify,0108167,245,8.37
Modify,Shopify,0108324,545,13.08
Modify,Shopify,0108332,416,13.08
Modify,Shopify,0108381,358,13.08
Modify,Shopify,0108589,97,10.02
Modify,Shopify,0108860,291,7.78
Modify,Shopify,0109827,699,11.90
Modify,Shopify,0110767,174,15.39
Modify,Shopify,0112326,100,58.90
Modify,Shopify,0112813,599,5.57
Modify,Shopify,0113092,23,49.54
Modify,Shopify,0114868,70,24.97
Modify,Shopify,0115188,228,13.91
Modify,Shopify,0115295,390,17.13
Modify,Shopify,0115907,53,21.60
Modify,Shopify,0115931,507,5.49
Modify,Shopify,0116046,257,3.56
Modify,Shopify,0116426,12,31.14
Modify,Shopify,0116707,117,5.94
Modify,Shopify,0118026,71,43.12
Modify,Shopify,0120162,184,11.89
Modify,Shopify,0120907,388,56.94
Modify,Shopify,0121798,180,18.63
Modify,Shopify,0122556,32,75.34
Modify,Shopify,0122796,104,11.52
Modify,Shopify,0123315,4,9.47
Modify,Shopify,0123562,191,6.10
Modify,Shopify,0123679,320,7.89
Modify,Shopify,0123877,0,8.34
Modify,Shopify,0124180,12,8.77
Modify,Shopify,0124354,0,6.66
Modify,Shopify,0124628,4,34.61
Modify,Shopify,0124735,53,8.34
Modify,Shopify,0125583,49,18.63
Modify,Shopify,0125757,1182,28.34
Modify,Shopify,0126144,1101,28.34
Modify,Shopify,0126391,119,33.98
Modify,Shopify,0126730,886,7.89
Modify,Shopify,0127159,1041,16.94
Modify,Shopify,0127191,640,24.80
Modify,Shopify,0127340,3,58.75
Modify,Shopify,0127381,76,28.62
Modify,Shopify,0128017,254,16.14
Modify,Shopify,0128835,94,29.61
Modify,Shopify,0129783,236,6.87
Modify,Shopify,0129882,29,6.87
Modify,Shopify,0129973,105,21.64
Modify,Shopify,0130237,78,11.07
Modify,Shopify,0130567,35,6.87
Modify,Shopify,0131185,52,8.84
Modify,Shopify,0131813,6,22.76
Modify,Shopify,0132761,119,17.41
Modify,Shopify,0134460,60,17.53
Modify,Shopify,0134528,44,16.58
Modify,Shopify,0134536,469,25.02
Modify,Shopify,0134825,31,18.45
Modify,Shopify,0135301,0,20.24
Modify,Shopify,0135335,187,4.60
Modify,Shopify,0136242,66,16.89
Modify,Shopify,0136424,63,17.97
Modify,Shopify,0136895,280,6.54
Modify,Shopify,0137141,96,24.01
Modify,Shopify,0137455,296,6.95
Modify,Shopify,0137570,300,16.14
Modify,Shopify,0137661,20,24.01
Modify,Shopify,0137703,100,24.01
Modify,Shopify,0138404,676,37.25
Modify,Shopify,0138495,337,22.28
Modify,Shopify,0139741,48,21.93
Modify,Shopify,0140715,1255,11.69
Modify,Shopify,0141275,35,31.36
Modify,Shopify,0141291,34,35.45
Modify,Shopify,0141325,16,32.68
Modify,Shopify,0141341,5,46.21
Modify,Shopify,0142356,160,62.28
Modify,Shopify,0142380,2604,31.03
Modify,Shopify,0143628,162,17.07
Modify,Shopify,0144170,19,16.33
Modify,Shopify,0144287,0,24.46
Modify,Shopify,0144337,86,24.46
Modify,Shopify,0144931,42,
Modify,Shopify,0145227,7,35.27
Modify,Shopify,0145649,927,29.22
Modify,Shopify,0145946,58,15.11
Modify,Shopify,0145953,145,39.94
Modify,Shopify,0146563,60,23.99
Modify,Shopify,0146902,95,55.17
Modify,Shopify,0147017,14,7.07
Modify,Shopify,0147207,145,16.50
Modify,Shopify,0148031,108,13.32
Modify,Shopify,0148205,264,71.64
Modify,Shopify,0148478,13,74.13
Modify,Shopify,0148593,136,31.94
Modify,Shopify,0148965,4,24.49
Modify,Shopify,0149211,1,18.26
Modify,Shopify,0151597,131,27.66
Modify,Shopify,0151605,213,19.83
Modify,Shopify,0151662,87,9.24
Modify,Shopify,0152090,24,123.12
Modify,Shopify,0152454,32,25.32
Modify,Shopify,0152983,0,18.14
Modify,Shopify,0154922,182,29.19
Modify,Shopify,0156034,1564,3.19
Modify,Shopify,0156190,60,13.14
Modify,Shopify,0157263,151,37.73
Modify,Shopify,0160051,59,51.59
Modify,Shopify,0160127,49,20.69
Modify,Shopify,0161679,444,28.21
Modify,Shopify,0165498,83,22.53
Modify,Shopify,0165514,47,22.53
Modify,Shopify,0165548,23,12.59
Modify,Shopify,1419035,47,22.07
Modify,Shopify,1432152,27,20.44
Modify,Shopify,1443993,108,55.18
Modify,Shopify,1444009,120,55.18
Modify,Shopify,1459254,843,5.86
Modify,Shopify,1471572,13,33.69
Modify,Shopify,1498872,99,53.27
Modify,Shopify,1499912,13,59.17
Modify,Shopify,1499979,209,61.63
Modify,Shopify,1501360,721,57.27
Modify,Shopify,1502079,239,9.91
Modify,Shopify,1137561,123,30.08
Modify,Shopify,1137918,419,39.12
Modify,Shopify,1138213,90,11.06
Modify,Shopify,1139088,14,62.65
Modify,Shopify,1140094,130,55.17
Modify,Shopify,1140664,95,3.23
Modify,Shopify,1140698,15,7.33
Modify,Shopify,1140821,599,4.60
Modify,Shopify,1141332,6,66.46
Modify,Shopify,1142801,109,5.87
Modify,Shopify,1142926,2027,8.14
Modify,Shopify,1143817,519,33.48
Modify,Shopify,1144138,376,33.48
Modify,Shopify,1144591,347,10.31
Modify,Shopify,1146620,12,15.28
Modify,Shopify,1146638,226,15.28
Modify,Shopify,1147388,266,55.55
Modify,Shopify,1147487,126,9.85
Modify,Shopify,1147800,300,5.88
Modify,Shopify,1148006,0,6.55
Modify,Shopify,1148634,471,8.56
Modify,Shopify,1148691,1051,12.42
Modify,Shopify,1151844,246,14.35
Modify,Shopify,1152305,182,55.26
Modify,Shopify,1152578,166,55.13
Modify,Shopify,1153931,323,3.85
Modify,Shopify,1154590,147,27.39
Modify,Shopify,1154681,19,33.36
Modify,Shopify,1156678,466,67.13
Modify,Shopify,1162502,2312,53.64
Modify,Shopify,1162551,309,17.77
Modify,Shopify,1162601,416,14.41
Modify,Shopify,1165059,118,45.18
Modify,Shopify,1165539,63,16.72
Modify,Shopify,1166776,16,23.64
Modify,Shopify,1166925,449,41.38
Modify,Shopify,1168293,60,33.82
Modify,Shopify,1168608,309,8.12
Modify,Shopify,1168640,267,8.12
Modify,Shopify,1170455,101,10.33
Modify,Shopify,1170505,282,5.06
Modify,Shopify,1170539,8,60.04
Modify,Shopify,1171271,139,39.86
Modify,Shopify,1172212,116,64.02
Modify,Shopify,1173913,124,39.96
Modify,Shopify,1173939,1025,13.89
Modify,Shopify,1176270,35,77.84
Modify,Shopify,1178870,615,28.31
Modify,Shopify,1179134,695,9.01
Modify,Shopify,1179506,76,45.13
Modify,Shopify,1179555,439,6.54
Modify,Shopify,1181254,30,7.97
Modify,Shopify,1181817,148,13.45
Modify,Shopify,1182104,0,6.20
Modify,Shopify,1182971,357,40.68
Modify,Shopify,1183979,43,36.61
Modify,Shopify,1184589,63,23.34
Modify,Shopify,1184951,95,47.99
Modify,Shopify,1186816,1,
Modify,Shopify,1186915,188,22.56
Modify,Shopify,1187608,127,24.80
Modify,Shopify,1189000,906,22.91
Modify,Shopify,1189885,27,55.33
Modify,Shopify,1191832,188,13.89
Modify,Shopify,1192335,2,41.87
Modify,Shopify,1193028,165,14.44
Modify,Shopify,1193630,44,18.36
Modify,Shopify,1194422,12,46.46
Modify,Shopify,1194497,12,67.58
Modify,Shopify,1194521,16,26.26
Modify,Shopify,1195148,6,45.87
Modify,Shopify,1197359,179,55.18
Modify,Shopify,1198290,12,8.86
Modify,Shopify,1198605,18,129.49
Modify,Shopify,1198969,28,8.12
Modify,Shopify,1199488,57,20.59
Modify,Shopify,1200310,373,5.19
Modify,Shopify,1200427,12,18.88
